/home/steve/IdeaProjects/tqec/.venv/bin/python /home/steve/IdeaProjects/tqec/streaming.py
Benchmarking streaming with nx=5, ny=5, t=100, k=2

Initial stream generation time (s): 0.00000072

Index, Time Taken (s), Time Elapsed (s), Total Circuit Size (bytes), Circuit Snippet
Partition 1/12 layer tree generation time (s): 3.865647077560425
0, 4.32653427, 4.32653904, 0, QUBIT_COORDS(0, 0) 0
1, 0.54676509, 4.87344432, 43565, RX 2 4 8 10 14 16 20
2, 0.31816864, 5.19173336, 77837, REPEAT 3 {     TICK
3, 0.00017762, 5.19207072, 126923, TICK
4, 0.19409657, 5.38617325, 126927, RX 2 4 8 10 14 16 20
5, 0.00019503, 5.38651371, 173519, TICK
6, 0.23101282, 5.61753321, 173523, RX 2 4 8 10 14 16 20
7, 0.22879815, 5.84649110, 223388, REPEAT 3 {     TICK
8, 0.00018978, 5.84685087, 278220, TICK
9, 0.23187447, 6.07873201, 278224, RX 2 4 8 10 14 16 20
10, 0.00023127, 6.07912874, 330628, TICK
11, 0.23101807, 6.31015396, 330632, RX 2 4 8 10 14 16 20
12, 0.23458242, 6.54490471, 381697, REPEAT 3 {     TICK
13, 0.00019479, 6.54527259, 437094, TICK
14, 0.23613429, 6.78141594, 437098, RX 2 4 8 10 14 16 20
15, 0.00024915, 6.78184152, 490058, TICK
16, 0.22543502, 7.00728345, 490062, RX 2 4 8 10 12 14 16
17, 0.22565365, 7.23310280, 540454, REPEAT 3 {     TICK
18, 0.00018597, 7.23345804, 594588, TICK
19, 0.22848630, 7.46195030, 594592, RX 2 4 8 10 12 14 16
20, 0.00021982, 7.46233773, 646281, TICK
21, 0.23588705, 7.69823194, 646285, RX 2 4 8 10 14 16 18
22, 0.23635268, 7.93475652, 697809, REPEAT 3 {     TICK
23, 0.00020528, 7.93514395, 753965, TICK
24, 0.24151516, 8.17666674, 753969, RX 2 4 8 10 14 16 18
25, 0.00024033, 8.17708278, 807714, TICK
26, 0.63703489, 8.81412601, 807718, RX 2 4 8 10 14 16 20
27, 0.23178530, 9.04607773, 858745, REPEAT 3 {     TICK
28, 0.00019097, 9.04643917, 913650, TICK
29, 0.23416734, 9.28061366, 913654, RX 2 4 8 10 14 16 20
30, 0.00022340, 9.28100562, 966147, TICK
31, 0.22321224, 9.50422549, 966151, RX 2 4 8 10 14 16 20
